conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,80E+18;Fri May 31 07:21:54 +0000 2024;5;-jualaness Laper pengen makan tapi mager keluar kos ? Pesen aja AYAM CRISPY TANPA TULANG by Dapur SIDORA ! BELI 2 CUMA 25K FREE ONGKIR AREA UNNES https://t.co/B3BGNcKJW8;1,80E+18;https://pbs.twimg.com/media/GO4-cPOa0AAbbyr.jpg;;in;BACA RULESâž¡ï¸;0;0;0;https://x.com/unnesmenfess/status/1796441962142380482;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 04:38:32 +0000 2024;4;#NAME?;;;;;;;;;;;
1,80E+18;Fri May 31 01:49:45 +0000 2024;3;-jualaness lego bricks 10k dan 13k siap mengisi waktu kleann https://t.co/CObubaaXd8;1,80E+18;https://pbs.twimg.com/media/GO3ya0obEAAuYdm.jpg;;in;BACA RULESâž¡ï¸;0;3;1;https://x.com/unnesmenfess/status/1796358374445199669;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 12:52:26 +0000 2024;5;Hampers kayak gini 35k aja udah include buket dan boneka mini sama greeting card masa gamauu bisa banget buat hadiah ultah anniv atau wisuda nanti loh stok terbatas ya sayy. Ready senin/selasa yakk free ongkir area unnes -jualaness https://t.co/EwFbG2P4mI;1,80E+18;https://pbs.twimg.com/media/GO6KF-ga0AE3r_3.jpg;;in;BACA RULESâž¡ï¸;0;0;0;https://x.com/unnesmenfess/status/1796525142526607731;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 11:05:29 +0000 2024;1;-jualaness lagi ngurangin isi lemari jadi jual murah aja mostly good condi. boleh tanya2 dulu ajaa yg minat komen aja yaaâ€ï¸ https://t.co/UIoQ4oT6my;1,80E+18;https://pbs.twimg.com/media/GO5xncrbkAE9CkY.jpg;;in;BACA RULESâž¡ï¸;0;5;0;https://x.com/unnesmenfess/status/1796498229846237434;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 04:41:38 +0000 2024;4;-jualaness yukk angkut jualan sender ada serumnya avoskin nii gaizz https://t.co/AxenP9mvA5;1,80E+18;https://pbs.twimg.com/media/GO4ZwmNawAAt3sd.jpg;;in;BACA RULESâž¡ï¸;0;2;0;https://x.com/unnesmenfess/status/1796401629350301907;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 12:33:28 +0000 2024;2;#NAME?;;;;;;;;;;;
1,80E+18;Fri May 31 14:55:04 +0000 2024;1;-jualaness pre ï¸ mesin cuci 250k nego https://t.co/HGixILSJlJ;1,80E+18;https://pbs.twimg.com/media/GO6mKVAagAAyHNE.jpg;;in;BACA RULESâž¡ï¸;0;1;0;https://x.com/unnesmenfess/status/1796556002835529867;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 05:15:42 +0000 2024;11;-ness batas akhir yudisium kapann??? https://t.co/ZSNsRxfXTZ;1,80E+18;https://pbs.twimg.com/media/GO4hjqcbsAAiD_p.jpg;;in;BACA RULESâž¡ï¸;0;1;0;https://x.com/unnesmenfess/status/1796410201807155419;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 16:39:05 +0000 2024;2;-jualaness foom pod x only 100k https://t.co/ZVW1sh5lwB;1,80E+18;https://pbs.twimg.com/media/GO69-KPbsAA5aBO.jpg;;en;BACA RULESâž¡ï¸;1;13;0;https://x.com/unnesmenfess/status/1796582183093903403;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 15:40:53 +0000 2024;2;-jualaness angkut yukkk bisa cod b*ni atau ambil ke kos https://t.co/EdHt4ps7T4;1,80E+18;https://pbs.twimg.com/media/GO6wpciasAAKbZP.jpg;;in;BACA RULESâž¡ï¸;0;3;0;https://x.com/unnesmenfess/status/1796567533820252330;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 12:38:03 +0000 2024;5;Bismillah -jualaness bisa COD dan anter ke kosan ya. Thx gaess https://t.co/gLqtaLKg0C;1,80E+18;https://pbs.twimg.com/media/GO6Gzc8bUAAH779.jpg;;in;BACA RULESâž¡ï¸;0;4;2;https://x.com/unnesmenfess/status/1796521524599587293;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 03:32:27 +0000 2024;0;-jualaness baru diswatch sekali jual karena salah shade. free ongkir sekitar unnes https://t.co/GxN5Xhl8wP;1,80E+18;https://pbs.twimg.com/media/GO4J7LBawAAb5ma.jpg;;in;BACA RULESâž¡ï¸;0;0;0;https://x.com/unnesmenfess/status/1796384218144285091;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 04:52:23 +0000 2024;4;#NAME?;;;;;;;;;;;
1,80E+18;Fri May 31 06:53:51 +0000 2024;8;35k udah dapet buket seecantik ini?? buruan pesan di fisa florist mumpung lagi promo fleksibel dalam pemesanan antar sampai tujuan -jualaness https://t.co/2vFTnkDbGm;1,80E+18;https://pbs.twimg.com/media/GO44BQeakAE8YZt.jpg;;in;BACA RULESâž¡ï¸;0;0;1;https://x.com/unnesmenfess/status/1796434901811728508;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 09:32:22 +0000 2024;1;-jualaness yuk diangkut sayang bgt ga kepake semuanya bisa di nego sampe nemu harga yg cocok. bisa dianter sampe kos juga yaaï¸ https://t.co/klBXu0WSrS;1,80E+18;https://pbs.twimg.com/media/GO5cTkCbwAA5K4h.jpg;;in;BACA RULESâž¡ï¸;0;0;0;https://x.com/unnesmenfess/status/1796474795770696117;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 10:00:42 +0000 2024;0;-ness yang berkenan jadi model boleh reply atau chat ke nomor tertera yaaa timaaciii https://t.co/yzJAvLjfJW;1,80E+18;https://pbs.twimg.com/media/GO5iycJbgAEwr73.jpg;;in;BACA RULESâž¡ï¸;0;8;0;https://x.com/unnesmenfess/status/1796481925164744970;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 02:31:52 +0000 2024;1;-jualaness ayo dibeli khusus case hp ambil 2 40k yg mau rep boleh nego https://t.co/W8WyWPItA5;1,80E+18;https://pbs.twimg.com/media/GO38DuebUAEhAmJ.jpg;;in;BACA RULESâž¡ï¸;0;0;0;https://x.com/unnesmenfess/status/1796368972813881852;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 05:52:27 +0000 2024;4;-jualaness info nih guys grand opening mie ayam jago cuma 10.000 gratis minum. Nanti jam 3 sore lokasi depan goori yaa https://t.co/yK2ArnsYsK;1,80E+18;https://pbs.twimg.com/media/GO4p942aYAA9KSC.jpg;;in;BACA RULESâž¡ï¸;0;0;0;https://x.com/unnesmenfess/status/1796419449958039724;1,19E+18;unnesmenfess
