word;weight
epizoik;0
epizootik;0
erang;1
erat;2
erik;-3
eror;-4
erot;-4
erotis;-4
eroton;-4
error;-5
erti;-2
es;-3
esa;3
esai;2
esak;-3
esensial;2
esok;1
esoteris;1
estetik;4
estetis;4
etimologis;1
etis;2
etnis;1
etnografis;0
etnologis;0
eufemistis;0
eurihalin;0
eusinantropus;0
eutektik;0
evaluatif;2
eviden;3
evolusioner;1
ex;-1
excited;-1
exp;-2
faal;4
fadihat;-5
fadil;3
faedah;-1
fail;-5
fair;3
fakir;-5
fakta;-3
faktitius;3
faktor;-4
faktual;3
fakultatif;1
falsafi;1
familiar;2
familier;1
fanbase;3
fans;2
fantasi;3
fantastis;2
fantasy;2
farak;-3
farik;0
faring;-5
farmakologis;0
fasid;-5
fasih;2
fatal;-5
fatamorgana;3
fatanah;3
fatwa;-3
faunistik;0
favorit;5
favorite;4
federal;0
federalistis;0
federasi;3
feral;0
feromagnetik;0
fertil;0
feses;-5
fibrokistik;0
fiesta;3
figur;3
figuratif;1
fiksi;-2
filantropi;2
filantropis;2
filatelik;0
filial;2
filmis;1
filo;-3
filosofis;2
filsafat;3
final;3
finansial;1
fine;3
firasat;-4
firdausi;2
fisibel;2
fisik;0
fiskal;-3
fit;2
fitnah;-4
fitrah;3
fitri;2
flu;-3
fluoresen;0
fokus;-2
folder;-5
follback;1
fondasi;-3
fonemis;0
fonis;0
fonologis;0
formal;-3
formasi;3
forum;2
fosil;-4
foto;3
fototropis;0
fragmentaris;0
free;3
frekuen;1
fresh;-2
friends;3
friksi;-5
frustasi;-3
fulan;-3
fulanah;1
fundamental;1
fundamentalistis;1
fungsionaris;-3
fusi;4
futuristik;1
gaakan;-2
gabaik;-3
gabakal;-2
gabal;-5
gabas;-5
gaberani;-1
gabuk;-4
gabung;2
gabutuh;-3
gadai;-3
gadang;-4
gado gado;-4
gaduh;-4
gaet;-5
gafur;0
gagah;5
gagal;-3
gagang;-5
gagap;-5
gagar;-3
gagu;-3
gahari;1
gaib;-5
gairah;3
gajak;4
gaje;-3
gajih;-2
galaba;-5
galak;-4
galau;-2
galak panas;-3
galas;-4
gali;-3
gali gali;-4
gali ilmu;4
galvanis;0
gam;-3
gamak;-4
gamam;-4
gamang;-3
gamat;4
gambar;2
gambir;3
gamblang;3
game;2
gamit;-3
gamopetal;0
gampang;4
gamungkin;-3
ganar;-4
ganas;-5
ganas cabul;-4
ganda;-3
gandem;2
ganduh;-3
gang;-4
gangerti;-3
ganggang;-3
ganggu;-4
ganggu jiwa;-4
gangguin;-3
gangsar;4
gani;4
ganih;0
ganjal;-3
ganjar;-3
ganjar balas;1
ganjat;0
ganjil;-4
ganteng;4
ganti;-3
gantung;3
ganyang;1
gapah;5
gapaham;-4
gapai;3
gapil mulut;-4
gapuk;-3
gapura;-4
gara;-4
gara gara;-5
garang;-4
garda;3
gari;3
garib;-4
garing;5
garis;2
garit;-3
garong;-5
garu;-4
garuk;-3
garwa ampil;-5
gas;-4
gasak;-5
gasal;0
gastroenterologi;-5
gastrointestinal;0
gatal;-3
gatra;3
gaul;-3
gaung;-3
gausa;-3
gawat;-5
gayeng;2
gayung;-4
gbs;-2
gebang;-4
gebeng;0
gebetan;-2
geblek;-5
gebok;-3
